yyyymm,metro,city,custCnt,powerUsage,bill,unitCost
2022-01,인천광역시,부평구,124217,67243642,7773026119,115.6
2022-02,인천광역시,부평구,123885,67314708,7682098955,114.1
2022-03,인천광역시,부평구,123759,58474275,6111102467,104.5
2022-04,인천광역시,부평구,123570,58551807,6337317487,108.2
2022-05,인천광역시,부평구,123424,53298938,5654469619,106.1
2022-06,인천광역시,부평구,123232,55505366,6055342514,109.1
2022-07,인천광역시,부평구,123190,71328610,8614352949,120.8
2022-08,인천광역시,부평구,123154,84971630,10561506803,124.3
2022-09,인천광역시,부평구,123298,67435965,7834668332,116.2
2022-10,인천광역시,부평구,123225,57088511,6762571870,118.5
2022-11,인천광역시,부평구,123184,58311240,7226841930,123.9
2022-12,인천광역시,부평구,123089,62352100,7950024100,127.5
2023-01,인천광역시,부평구,122943,68997625,9678928195,140.3
2023-02,인천광역시,부평구,122841,66899456,9658311129,144.4
2023-03,인천광역시,부평구,122759,56810945,7630322753,134.3
2023-04,인천광역시,부평구,122673,58451888,7900066666,135.2
2023-05,인천광역시,부평구,122551,56119056,7479473106,133.3
2023-06,인천광역시,부평구,122669,58561939,8306615743,141.8
2023-07,인천광역시,부평구,122628,70295408,10202394668,145.1
2023-08,인천광역시,부평구,122533,92653401,14452400624,156.0
2023-09,인천광역시,부평구,122420,78094579,11841261906,151.6
2023-10,인천광역시,부평구,122414,59744699,8479765192,141.9
2023-11,인천광역시,부평구,122361,59696564,8520522419,142.7
2023-12,인천광역시,부평구,122473,64486594,9500477066,147.3
